		        library	id	    :	    ,	    device_open	for	    repeat	while	if	    device_close	read_from_device	writeln     readln	+	    -	    *	    /	    $
program		    1	    error	error	error	error		error	error	error	error	error		    error			    error	    error	error	error	error	error	error
program'	    error	error	error	error	error		error	error	error	error	error		    error			    error	    error	error	error	error	error	2
libtoken_tail	3	    error	error	error	error		error	error	error	error	error		    error			    error	    error	error	error	error	error	error
libtoken_tail'	error	error	error	error	error		error	error	error	error	error		    error			    error	    error	error	error	error	error	4
start		    5	    error	error	error	error		error	error	error	error	error		    error			    error	    error	error	error	error	error	error
start'		    error	error	error	error	error		error	error	error	error	error		    error			    error	    error	error	error	error	error	6
code		    7	    7	    error	error	error		error	error	error	error	error		    error			    error	    error	error	error	error	error	error
code'		    error	error	error	error	error		error	error	error	error	error		    error			    error	    error	error	error	error	error	8
var_type_tail	error	9	    9	    error	error		error	error	error	error	error		    error			    error	    error	error	error	error	error	error
var_type_tail'	error	error	error	error	error		error	error	error	error	error		    error			    error	    error	error	error	error	error	10
var_tail	    error	11	    error	11	    error		error	error	error	error	error		    error			    error	    error	error	error	error	error	error
var_tail'	    error	error	error	error	error		error	error	error	error	error		    error			    error	    error	error	error	error	error	12
statemt_tail	error	13	    error	error	error		13	    13	    13	    13	    13		        13			        13	        13	    error	error	error	error	error
statemt_tail'	error	error	error	error	error		error	error	error	error	error		    error			    error	    error	error	error	error	error	14
primary_tail	error	error	error	error	error		error	error	error	error	error		    error			    error	    error	15	    15	    error	error	error
primary_tail'	error	error	error	error	error		error	error	error	error	error		    error			    error	    error	error	error	error	error	16
sec_tail	    error	error	error	error	error		error	error	error	error	error		    error			    error	    error	error	error	17	17	error
sec_tail'	    error	error	error	error	error		error	error	error	error	error		    error			    error	    error	error	error	error	error	18
